Id_censo,Indicadores de renta media,Primera fecha: Total
2807901001,Media de la renta por unidad de consumo,39.572
2807901001,Mediana de la renta por unidad de consumo,26.250
2807901001,Renta bruta media por hogar,77.551
2807901001,Renta bruta media por persona,36.775
2807901001,Renta neta media por hogar,58.594
2807901001,Renta neta media por persona,27.785
2807901002,Media de la renta por unidad de consumo,22.582
2807901002,Mediana de la renta por unidad de consumo,17.850
2807901002,Renta bruta media por hogar,41.522
2807901002,Renta bruta media por persona,20.761
2807901002,Renta neta media por hogar,32.928
2807901002,Renta neta media por persona,16.464
2807901003,Media de la renta por unidad de consumo,24.789
2807901003,Mediana de la renta por unidad de consumo,18.550
2807901003,Renta bruta media por hogar,48.288
2807901003,Renta bruta media por persona,23.187
2807901003,Renta neta media por hogar,36.784
2807901003,Renta neta media por persona,17.664
2807901004,Media de la renta por unidad de consumo,39.597
2807901004,Mediana de la renta por unidad de consumo,26.950
2807901004,Renta bruta media por hogar,80.534
2807901004,Renta bruta media por persona,38.493
2807901004,Renta neta media por hogar,60.124
2807901004,Renta neta media por persona,28.737
2807901006,Media de la renta por unidad de consumo,31.015
2807901006,Mediana de la renta por unidad de consumo,26.250
2807901006,Renta bruta media por hogar,57.400
2807901006,Renta bruta media por persona,29.722
2807901006,Renta neta media por hogar,40.842
2807901006,Renta neta media por persona,21.149
2807901007,Media de la renta por unidad de consumo,28.027
2807901007,Mediana de la renta por unidad de consumo,24.850
2807901007,Renta bruta media por hogar,51.240
2807901007,Renta bruta media por persona,25.207
2807901007,Renta neta media por hogar,40.339
2807901007,Renta neta media por persona,19.845
2807901008,Media de la renta por unidad de consumo,28.230
2807901008,Mediana de la renta por unidad de consumo,22.750
2807901008,Renta bruta media por hogar,52.419
2807901008,Renta bruta media por persona,26.244
2807901008,Renta neta media por hogar,40.719
2807901008,Renta neta media por persona,20.387
2807901009,Media de la renta por unidad de consumo,28.739
2807901009,Mediana de la renta por unidad de consumo,22.750
2807901009,Renta bruta media por hogar,51.182
2807901009,Renta bruta media por persona,27.174
2807901009,Renta neta media por hogar,39.914
2807901009,Renta neta media por persona,21.192
2807901011,Media de la renta por unidad de consumo,26.039
2807901011,Mediana de la renta por unidad de consumo,20.650
2807901011,Renta bruta media por hogar,46.745
2807901011,Renta bruta media por persona,23.558
2807901011,Renta neta media por hogar,37.396
2807901011,Renta neta media por persona,18.846
2807901012,Media de la renta por unidad de consumo,23.127
2807901012,Mediana de la renta por unidad de consumo,18.550
2807901012,Renta bruta media por hogar,44.034
2807901012,Renta bruta media por persona,20.679
2807901012,Renta neta media por hogar,35.276
2807901012,Renta neta media por persona,16.566
2807901013,Media de la renta por unidad de consumo,19.111
2807901013,Mediana de la renta por unidad de consumo,17.150
2807901013,Renta bruta media por hogar,32.234
2807901013,Renta bruta media por persona,17.103
2807901013,Renta neta media por hogar,26.496
2807901013,Renta neta media por persona,14.058
2807901014,Media de la renta por unidad de consumo,24.066
2807901014,Mediana de la renta por unidad de consumo,19.950
2807901014,Renta bruta media por hogar,43.756
2807901014,Renta bruta media por persona,21.112
2807901014,Renta neta media por hogar,35.139
2807901014,Renta neta media por persona,16.955
2807901015,Media de la renta por unidad de consumo,24.947
2807901015,Mediana de la renta por unidad de consumo,20.650
2807901015,Renta bruta media por hogar,44.716
2807901015,Renta bruta media por persona,22.594
2807901015,Renta neta media por hogar,35.586
2807901015,Renta neta media por persona,17.981
2807901016,Media de la renta por unidad de consumo,27.095
2807901016,Mediana de la renta por unidad de consumo,23.450
2807901016,Renta bruta media por hogar,50.668
2807901016,Renta bruta media por persona,25.016
2807901016,Renta neta media por hogar,39.627
2807901016,Renta neta media por persona,19.565
2807901018,Media de la renta por unidad de consumo,25.503
2807901018,Mediana de la renta por unidad de consumo,22.050
2807901018,Renta bruta media por hogar,44.822
2807901018,Renta bruta media por persona,23.222
2807901018,Renta neta media por hogar,35.403
2807901018,Renta neta media por persona,18.342
2807901019,Media de la renta por unidad de consumo,27.062
2807901019,Mediana de la renta por unidad de consumo,24.150
2807901019,Renta bruta media por hogar,47.584
2807901019,Renta bruta media por persona,25.250
2807901019,Renta neta media por hogar,37.673
2807901019,Renta neta media por persona,19.991
2807901020,Media de la renta por unidad de consumo,23.712
2807901020,Mediana de la renta por unidad de consumo,19.250
2807901020,Renta bruta media por hogar,43.009
2807901020,Renta bruta media por persona,21.190
2807901020,Renta neta media por hogar,34.738
2807901020,Renta neta media por persona,17.115
2807901021,Media de la renta por unidad de consumo,25.050
2807901021,Mediana de la renta por unidad de consumo,22.050
2807901021,Renta bruta media por hogar,46.996
